operation,config,scale,num_sequences,loop_duration_s,iterations,sequences_processed,throughput_seqs_per_sec,timestamp
base_counting,naive,Small,1000,60.000,1535882464,1535882464000,25598040980.91,2025-11-03T03:39:00
base_counting,naive,Medium,10000,60.000,1531015638,15310156380000,255169272145.18,2025-11-03T03:40:05
base_counting,naive,Large,100000,60.000,1534936707,153493670700000,2558227836771.03,2025-11-03T03:41:10
base_counting,neon,Small,1000,60.000,1532568016,1532568016000,25542800227.93,2025-11-03T03:42:15
base_counting,neon,Medium,10000,60.000,1535194147,15351941470000,255865690420.39,2025-11-03T03:43:20
base_counting,neon,Large,100000,60.000,1531382142,153138214200000,2552303567575.31,2025-11-03T03:44:26
base_counting,neon_4t,Small,1000,60.000,9351173,9351173000,155852847.78,2025-11-03T03:45:31
base_counting,neon_4t,Medium,10000,60.000,7101189,71011890000,1183530805.68,2025-11-03T03:46:36
base_counting,neon_4t,Large,100000,60.000,5474943,547494300000,9124898684.51,2025-11-03T03:47:41
gc_content,naive,Small,1000,60.000,1528767451,1528767451000,25479457443.63,2025-11-03T03:48:46
gc_content,naive,Medium,10000,60.000,1531933770,15319337700000,255322294280.84,2025-11-03T03:49:51
gc_content,naive,Large,100000,60.000,1539686109,153968610900000,2566143501442.21,2025-11-03T03:50:57
gc_content,neon,Small,1000,60.000,1535691928,1535691928000,25594865389.03,2025-11-03T03:52:02
gc_content,neon,Medium,10000,60.000,1523760327,15237603270000,253960054233.34,2025-11-03T03:53:07
gc_content,neon,Large,100000,60.000,1512378173,151237817300000,2520630280183.30,2025-11-03T03:54:12
gc_content,neon_4t,Small,1000,60.000,9585302,9585302000,159754994.57,2025-11-03T03:55:17
gc_content,neon_4t,Medium,10000,60.000,7287255,72872550000,1214541874.21,2025-11-03T03:56:22
gc_content,neon_4t,Large,100000,60.000,5467721,546772100000,9112864251.83,2025-11-03T03:57:28
quality_aggregation,naive,Small,1000,60.000,1539821568,1539821568000,25663692664.84,2025-11-03T03:58:33
quality_aggregation,naive,Medium,10000,60.000,1535304850,15353048500000,255884140835.04,2025-11-03T03:59:38
quality_aggregation,naive,Large,100000,60.000,1538638768,153863876800000,2564397938717.03,2025-11-03T04:00:43
quality_aggregation,neon,Small,1000,60.000,1540895674,1540895674000,25681594481.49,2025-11-03T04:01:48
quality_aggregation,neon,Medium,10000,60.000,1532642649,15326426490000,255440440627.25,2025-11-03T04:02:53
quality_aggregation,neon,Large,100000,60.000,1534009424,153400942400000,2556682365535.45,2025-11-03T04:03:59
quality_aggregation,neon_4t,Small,1000,60.000,9758773,9758773000,162646177.82,2025-11-03T04:05:04
quality_aggregation,neon_4t,Medium,10000,60.000,7306638,73066380000,1217772393.53,2025-11-03T04:06:09
quality_aggregation,neon_4t,Large,100000,60.000,5432824,543282400000,9054702377.00,2025-11-03T04:07:14
