operation,config,scale,num_sequences,loop_duration_s,iterations,sequences_processed,throughput_seqs_per_sec,timestamp
base_counting,naive,Medium,10000,60.001,8022,80220000,1336976.92,2025-11-02T18:43:43
base_counting,neon,Medium,10000,60.000,134152,1341520000,22358644.08,2025-11-02T18:44:48
base_counting,neon_4t,Medium,10000,60.000,332385,3323850000,55397348.50,2025-11-02T18:45:53
base_counting,naive,Large,100000,60.005,780,78000000,1299883.45,2025-11-02T18:48:04
base_counting,neon,Large,100000,60.004,11912,1191200000,19852070.20,2025-11-02T18:49:09
base_counting,neon_4t,Large,100000,60.001,40431,4043100000,67383842.59,2025-11-02T18:50:14
gc_content,naive,Medium,10000,60.000,8655,86550000,1442497.77,2025-11-02T18:52:24
gc_content,neon,Medium,10000,60.000,148426,1484260000,24737511.28,2025-11-02T18:53:29
gc_content,neon_4t,Medium,10000,60.000,373559,3735590000,62259812.02,2025-11-02T18:54:34
gc_content,naive,Large,100000,60.063,856,85600000,1425163.05,2025-11-02T18:56:44
gc_content,neon,Large,100000,60.002,12918,1291800000,21529217.71,2025-11-02T18:57:49
gc_content,neon_4t,Large,100000,60.000,44629,4462900000,74381639.86,2025-11-02T18:58:54
quality_aggregation,naive,Medium,10000,60.001,39384,393840000,6563910.13,2025-11-02T19:01:04
quality_aggregation,neon,Medium,10000,60.000,800394,8003940000,133398996.20,2025-11-02T19:02:09
quality_aggregation,neon_4t,Medium,10000,60.000,889259,8892590000,148209690.17,2025-11-02T19:03:14
quality_aggregation,naive,Large,100000,60.010,3898,389800000,6495631.73,2025-11-02T19:05:24
quality_aggregation,neon,Large,100000,60.000,49390,4939000000,82316251.94,2025-11-02T19:06:30
quality_aggregation,neon_4t,Large,100000,60.000,113633,11363300000,189386789.44,2025-11-02T19:07:35
