operation,config,scale,num_sequences,mac_throughput,mac_speedup,graviton_throughput,graviton_speedup,portability_ratio,speedup_variance_pct,graviton_vs_mac_throughput
base_counting,naive,Medium,10000,1336976.92,1.0,974685.19,1.0,1.0,0.0,0.729021702184657
base_counting,naive,Large,100000,1299883.45,1.0,975778.1,1.0,1.0,0.0,0.75066583854114
base_counting,neon,Medium,10000,22358644.08,16.723283510384007,17371446.88,17.82262320000984,1.065737071846161,6.573707184616097,0.7769454541985804
base_counting,neon,Large,100000,19852070.2,15.272192441560819,17010382.98,17.432634509833743,1.1414624702078549,14.146247020785497,0.8568568823618204
base_counting,neon_4t,Medium,10000,55397348.5,41.43478295795862,43432245.3,44.5602803301033,1.0754317302763705,7.543173027637046,0.7840130705894705
base_counting,neon_4t,Large,100000,67383842.59,51.83837257871081,44043858.52,45.13716645208578,0.8707288482783676,-12.927115172163237,0.6536264010348419
gc_content,naive,Medium,10000,1442497.77,1.0,9476801.04,1.0,1.0,0.0,6.569716249890631
gc_content,naive,Large,100000,1425163.05,1.0,9465365.82,1.0,1.0,0.0,6.641602039850809
gc_content,neon,Medium,10000,24737511.28,17.14908112474933,83554033.25,8.816691718791219,0.5141203575080816,-48.58796424919184,3.3776248671204243
gc_content,neon,Large,100000,21529217.71,15.106494453389034,76457147.09,8.07756916573141,0.5347083792771833,-46.52916207228167,3.5513202625326605
gc_content,neon_4t,Medium,10000,62259812.02,43.16111491804941,54649144.98,5.766623647508801,0.13360692045277253,-86.63930795472274,0.8777595563964248
gc_content,neon_4t,Large,100000,74381639.86,52.19167018117681,54487621.7,5.756525710276246,0.11029587078346395,-88.9704129216536,0.7325412803825754
quality_aggregation,naive,Medium,10000,6563910.13,1.0,30814699.19,1.0,1.0,0.0,4.6945644562016575
quality_aggregation,naive,Large,100000,6495631.73,1.0,30833576.09,1.0,1.0,0.0,4.746817149068886
quality_aggregation,neon,Medium,10000,133398996.2,20.323099122016774,73388069.85,2.3815929338624184,0.1171865038675302,-88.28134961324699,0.5501395958030454
quality_aggregation,neon,Large,100000,82316251.94,12.672555243522094,68489933.26,2.221277644217622,0.1752825378570029,-82.47174621429971,0.8320341566319377
quality_aggregation,neon_4t,Medium,10000,148209690.17,22.57948192992703,49576643.17,1.608863447418907,0.07125333753944577,-92.87466624605541,0.33450338579842137
quality_aggregation,neon_4t,Large,100000,189386789.44,29.15602320330435,50203676.11,1.6282145140563875,0.055844876466961256,-94.41551235330388,0.26508541730100516
