operation,config_name,config_type,threads,affinity,scale,num_sequences,throughput,speedup,pruned,elapsed_secs
base_counting,neon,Neon,1,default,Medium,10000,11271314.05,17.12,false,0.0009
base_counting,neon,Neon,1,p_cores,Medium,10000,14074595.36,21.37,false,0.0007
base_counting,neon,Neon,1,e_cores,Medium,10000,13051286.33,19.82,false,0.0008
base_counting,neon,Neon,1,default,Large,100000,18275271.27,15.52,false,0.0055
base_counting,neon,Neon,1,p_cores,Large,100000,18054207.76,15.33,false,0.0055
base_counting,neon,Neon,1,e_cores,Large,100000,12955255.79,11.00,false,0.0077
gc_content,neon,Neon,1,default,Medium,10000,20137620.50,15.44,false,0.0005
gc_content,neon,Neon,1,p_cores,Medium,10000,20456884.05,15.68,false,0.0005
gc_content,neon,Neon,1,e_cores,Medium,10000,20686074.34,15.86,false,0.0005
gc_content,neon,Neon,1,default,Large,100000,20612534.44,15.12,false,0.0049
gc_content,neon,Neon,1,p_cores,Large,100000,20933092.60,15.36,false,0.0048
gc_content,neon,Neon,1,e_cores,Large,100000,21313250.00,15.64,false,0.0047
at_content,neon,Neon,1,default,Medium,10000,31352090.24,14.08,false,0.0003
at_content,neon,Neon,1,p_cores,Medium,10000,31554003.10,14.17,false,0.0003
at_content,neon,Neon,1,e_cores,Medium,10000,36945767.31,16.60,false,0.0003
at_content,neon,Neon,1,default,Large,100000,26646237.88,12.05,false,0.0038
at_content,neon,Neon,1,p_cores,Large,100000,27645631.66,12.50,false,0.0036
at_content,neon,Neon,1,e_cores,Large,100000,27600483.01,12.48,false,0.0036
n_content,neon,Neon,1,default,Medium,10000,61839859.50,5.11,false,0.0002
n_content,neon,Neon,1,p_cores,Medium,10000,68649728.49,5.67,false,0.0001
n_content,neon,Neon,1,e_cores,Medium,10000,84121976.87,6.95,false,0.0001
n_content,neon,Neon,1,default,Large,100000,46397425.50,3.99,false,0.0022
n_content,neon,Neon,1,p_cores,Large,100000,46980515.30,4.04,false,0.0021
n_content,neon,Neon,1,e_cores,Large,100000,39783830.58,3.43,false,0.0025
reverse_complement,neon,Neon,1,default,Medium,10000,11634671.32,1.10,false,0.0009
reverse_complement,neon,Neon,1,p_cores,Medium,10000,11908306.04,1.13,false,0.0008
reverse_complement,neon,Neon,1,e_cores,Medium,10000,12593126.17,1.19,false,0.0008
reverse_complement,neon,Neon,1,default,Large,100000,10399559.39,1.13,false,0.0096
reverse_complement,neon,Neon,1,p_cores,Large,100000,10368828.56,1.13,false,0.0096
reverse_complement,neon,Neon,1,e_cores,Large,100000,10274500.75,1.12,false,0.0097
sequence_length,neon,Neon,1,default,Medium,10000,1100836635.84,1.11,false,0.0000
sequence_length,neon,Neon,1,p_cores,Medium,10000,1428571428.57,1.44,false,0.0000
sequence_length,neon,Neon,1,e_cores,Medium,10000,1655081098.97,1.67,false,0.0000
sequence_length,neon,Neon,1,default,Large,100000,294081319.37,0.98,false,0.0003
sequence_length,neon,Neon,1,p_cores,Large,100000,284697508.90,0.94,false,0.0004
sequence_length,neon,Neon,1,e_cores,Large,100000,299550075.79,0.99,false,0.0003
quality_aggregation,neon,Neon,1,default,Medium,10000,63983210.81,9.84,false,0.0002
quality_aggregation,neon,Neon,1,p_cores,Medium,10000,65717271.16,10.11,false,0.0002
quality_aggregation,neon,Neon,1,e_cores,Medium,10000,64689747.97,9.95,false,0.0002
quality_aggregation,neon,Neon,1,default,Large,100000,42246071.54,6.42,false,0.0024
quality_aggregation,neon,Neon,1,p_cores,Large,100000,46270419.14,7.03,false,0.0022
quality_aggregation,neon,Neon,1,e_cores,Large,100000,38934487.66,5.92,false,0.0026
quality_filter,neon,Neon,1,default,Medium,10000,80455701.09,1.22,false,0.0001
quality_filter,neon,Neon,1,p_cores,Medium,10000,83044752.82,1.26,false,0.0001
quality_filter,neon,Neon,1,e_cores,Medium,10000,94711319.90,1.44,false,0.0001
quality_filter,neon,Neon,1,default,Large,100000,57718658.48,1.21,false,0.0017
quality_filter,neon,Neon,1,p_cores,Large,100000,53642082.86,1.13,false,0.0019
quality_filter,neon,Neon,1,e_cores,Large,100000,57119748.12,1.20,false,0.0018
length_filter,neon,Neon,1,default,Medium,10000,1269841269.84,1.39,false,0.0000
length_filter,neon,Neon,1,p_cores,Medium,10000,1589319771.14,1.74,false,0.0000
length_filter,neon,Neon,1,e_cores,Medium,10000,1818181818.18,1.99,false,0.0000
length_filter,neon,Neon,1,default,Large,100000,238213210.35,0.70,false,0.0004
length_filter,neon,Neon,1,p_cores,Large,100000,316205533.60,0.93,false,0.0003
length_filter,neon,Neon,1,e_cores,Large,100000,294913044.89,0.86,false,0.0003
complexity_score,neon,Neon,1,default,Medium,10000,5582434.98,0.99,false,0.0018
complexity_score,neon,Neon,1,p_cores,Medium,10000,5613376.45,1.00,false,0.0018
complexity_score,neon,Neon,1,e_cores,Medium,10000,5560318.90,0.99,false,0.0018
complexity_score,neon,Neon,1,default,Large,100000,5564998.12,1.00,false,0.0180
complexity_score,neon,Neon,1,p_cores,Large,100000,5545734.98,0.99,false,0.0180
complexity_score,neon,Neon,1,e_cores,Large,100000,5598490.38,1.00,false,0.0179
