operation,config_name,config_type,threads,affinity,scale,num_sequences,throughput,speedup,pruned,elapsed_secs
base_counting,naive,Naive,1,default,Medium,10000,781046.62,1.00,false,0.0128
base_counting,neon,Neon,1,default,Medium,10000,14072119.61,18.02,false,0.0007
base_counting,neon_2t,Neon,2,default,Medium,10000,21468810.11,27.49,false,0.0005
base_counting,neon_4t,Neon,4,default,Medium,10000,39068757.11,50.02,false,0.0003
base_counting,naive,Naive,1,default,Large,100000,1217337.32,1.00,false,0.0821
base_counting,neon,Neon,1,default,Large,100000,18647149.32,15.32,false,0.0054
base_counting,neon_2t,Neon,2,default,Large,100000,35479336.48,29.15,false,0.0028
base_counting,neon_4t,Neon,4,default,Large,100000,63423244.24,52.10,false,0.0016
base_counting,naive,Naive,1,default,VeryLarge,1000000,1201693.13,1.00,false,0.8322
base_counting,neon,Neon,1,default,VeryLarge,1000000,17850674.86,14.85,false,0.0560
base_counting,neon_2t,Neon,2,default,VeryLarge,1000000,32726438.98,27.23,false,0.0306
base_counting,neon_4t,Neon,4,default,VeryLarge,1000000,65806249.95,54.76,false,0.0152
gc_content,naive,Naive,1,default,Medium,10000,1455365.75,1.00,false,0.0069
gc_content,neon,Neon,1,default,Medium,10000,21802357.27,14.98,false,0.0005
gc_content,neon_2t,Neon,2,default,Medium,10000,34792653.18,23.91,false,0.0003
gc_content,neon_4t,Neon,4,default,Medium,10000,60636562.63,41.66,false,0.0002
gc_content,naive,Naive,1,default,Large,100000,1448566.82,1.00,false,0.0690
gc_content,neon,Neon,1,default,Large,100000,21044143.04,14.53,false,0.0048
gc_content,neon_2t,Neon,2,default,Large,100000,39564787.34,27.31,false,0.0025
gc_content,neon_4t,Neon,4,default,Large,100000,71142730.10,49.11,false,0.0014
gc_content,naive,Naive,1,default,VeryLarge,1000000,1455998.01,1.00,false,0.6868
gc_content,neon,Neon,1,default,VeryLarge,1000000,19760177.44,13.57,false,0.0506
gc_content,neon_2t,Neon,2,default,VeryLarge,1000000,33338844.24,22.90,false,0.0300
gc_content,neon_4t,Neon,4,default,VeryLarge,1000000,55697894.62,38.25,false,0.0180
at_content,naive,Naive,1,default,Medium,10000,1937780.95,1.00,false,0.0052
at_content,neon,Neon,1,default,Medium,10000,25740025.74,13.28,false,0.0004
at_content,neon_2t,Neon,2,default,Medium,10000,39986564.51,20.64,false,0.0003
at_content,neon_4t,Neon,4,default,Medium,10000,66926788.79,34.54,false,0.0001
at_content,naive,Naive,1,default,Large,100000,2025613.89,1.00,false,0.0494
at_content,neon,Neon,1,default,Large,100000,25109590.81,12.40,false,0.0040
at_content,neon_2t,Neon,2,default,Large,100000,47679577.98,23.54,false,0.0021
at_content,neon_4t,Neon,4,default,Large,100000,88322993.65,43.60,false,0.0011
at_content,naive,Naive,1,default,VeryLarge,1000000,2081092.55,1.00,false,0.4805
at_content,neon,Neon,1,default,VeryLarge,1000000,27207922.95,13.07,false,0.0368
at_content,neon_2t,Neon,2,default,VeryLarge,1000000,47861965.33,23.00,false,0.0209
at_content,neon_4t,Neon,4,default,VeryLarge,1000000,89315292.00,42.92,false,0.0112
n_content,naive,Naive,1,default,Medium,10000,11200817.21,1.00,false,0.0009
n_content,neon,Neon,1,default,Medium,10000,48338368.58,4.32,false,0.0002
n_content,neon_2t,Neon,2,default,Medium,10000,65199674.00,5.82,false,0.0002
n_content,neon_4t,Neon,4,default,Medium,10000,42941492.22,3.83,false,0.0002
n_content,naive,Naive,1,default,Large,100000,11249015.29,1.00,false,0.0089
n_content,neon,Neon,1,default,Large,100000,46486395.52,4.13,false,0.0022
n_content,neon_2t,Neon,2,default,Large,100000,77707625.06,6.91,false,0.0013
n_content,neon_4t,Neon,4,default,Large,100000,0.00,0.00,true,0.0000
n_content,naive,Naive,1,default,VeryLarge,1000000,11617257.87,1.00,false,0.0861
n_content,neon,Neon,1,default,VeryLarge,1000000,47210915.99,4.06,false,0.0212
n_content,neon_2t,Neon,2,default,VeryLarge,1000000,73769433.64,6.35,false,0.0136
n_content,neon_4t,Neon,4,default,VeryLarge,1000000,0.00,0.00,true,0.0000
reverse_complement,naive,Naive,1,default,Medium,10000,10464355.79,1.00,false,0.0010
reverse_complement,neon,Neon,1,default,Medium,10000,12246152.57,1.17,false,0.0008
reverse_complement,naive,Naive,1,default,Large,100000,9155029.25,1.00,false,0.0109
reverse_complement,neon,Neon,1,default,Large,100000,0.00,0.00,true,0.0000
reverse_complement,naive,Naive,1,default,VeryLarge,1000000,8143145.62,1.00,false,0.1228
reverse_complement,neon,Neon,1,default,VeryLarge,1000000,0.00,0.00,true,0.0000
sequence_length,naive,Naive,1,default,Medium,10000,848032564.45,1.00,false,0.0000
sequence_length,neon,Neon,1,default,Medium,10000,1148369315.57,1.35,false,0.0000
sequence_length,naive,Naive,1,default,Large,100000,302381557.14,1.00,false,0.0003
sequence_length,neon,Neon,1,default,Large,100000,0.00,0.00,true,0.0000
sequence_length,naive,Naive,1,default,VeryLarge,1000000,352381428.93,1.00,false,0.0028
sequence_length,neon,Neon,1,default,VeryLarge,1000000,0.00,0.00,true,0.0000
quality_aggregation,naive,Naive,1,default,Medium,10000,6273364.36,1.00,false,0.0016
quality_aggregation,neon,Neon,1,default,Medium,10000,58708185.10,9.36,false,0.0002
quality_aggregation,neon_2t,Neon,2,default,Medium,10000,69344280.48,11.05,false,0.0001
quality_aggregation,naive,Naive,1,default,Large,100000,6292820.68,1.00,false,0.0159
quality_aggregation,neon,Neon,1,default,Large,100000,46625480.83,7.41,false,0.0021
quality_aggregation,neon_2t,Neon,2,default,Large,100000,0.00,0.00,true,0.0000
quality_aggregation,naive,Naive,1,default,VeryLarge,1000000,6361830.69,1.00,false,0.1572
quality_aggregation,neon,Neon,1,default,VeryLarge,1000000,47395141.69,7.45,false,0.0211
quality_aggregation,neon_2t,Neon,2,default,VeryLarge,1000000,0.00,0.00,true,0.0000
quality_filter,naive,Naive,1,default,Medium,10000,57748056.78,1.00,false,0.0002
quality_filter,neon,Neon,1,default,Medium,10000,78354554.36,1.36,false,0.0001
quality_filter,naive,Naive,1,default,Large,100000,49393887.61,1.00,false,0.0020
quality_filter,neon,Neon,1,default,Large,100000,0.00,0.00,true,0.0000
quality_filter,naive,Naive,1,default,VeryLarge,1000000,49956393.06,1.00,false,0.0200
quality_filter,neon,Neon,1,default,VeryLarge,1000000,0.00,0.00,true,0.0000
length_filter,naive,Naive,1,default,Medium,10000,971722864.64,1.00,false,0.0000
length_filter,neon,Neon,1,default,Medium,10000,1071352046.28,1.10,false,0.0000
length_filter,naive,Naive,1,default,Large,100000,322406961.41,1.00,false,0.0003
length_filter,neon,Neon,1,default,Large,100000,0.00,0.00,true,0.0000
length_filter,naive,Naive,1,default,VeryLarge,1000000,358021928.84,1.00,false,0.0028
length_filter,neon,Neon,1,default,VeryLarge,1000000,0.00,0.00,true,0.0000
complexity_score,naive,Naive,1,default,Medium,10000,5332977.80,1.00,false,0.0019
complexity_score,neon,Neon,1,default,Medium,10000,5318088.15,1.00,false,0.0019
complexity_score,naive,Naive,1,default,Large,100000,5265178.61,1.00,false,0.0190
complexity_score,neon,Neon,1,default,Large,100000,0.00,0.00,true,0.0000
complexity_score,naive,Naive,1,default,VeryLarge,1000000,5389611.66,1.00,false,0.1855
complexity_score,neon,Neon,1,default,VeryLarge,1000000,0.00,0.00,true,0.0000
