operation,config_name,config_type,threads,affinity,scale,num_sequences,throughput,speedup,pruned,elapsed_secs
base_counting,naive,Naive,1,default,Tiny,100,812730.61,1.00,false,0.0001
base_counting,neon,Neon,1,default,Tiny,100,18751171.95,23.07,false,0.0000
base_counting,neon_2t,Neon,2,default,Tiny,100,997506.23,1.23,false,0.0001
base_counting,neon_4t,Neon,4,default,Tiny,100,2051282.05,2.52,false,0.0000
base_counting,naive,Naive,1,default,Small,1000,1046891.31,1.00,false,0.0010
base_counting,neon,Neon,1,default,Small,1000,14277148.00,13.64,false,0.0001
base_counting,neon_2t,Neon,2,default,Small,1000,17937219.73,17.13,false,0.0001
base_counting,neon_4t,Neon,4,default,Small,1000,17118597.64,16.35,false,0.0001
base_counting,naive,Naive,1,default,Medium,10000,923826.70,1.00,false,0.0108
base_counting,neon,Neon,1,default,Medium,10000,16012810.25,17.33,false,0.0006
base_counting,neon_2t,Neon,2,default,Medium,10000,30804774.74,33.34,false,0.0003
base_counting,neon_4t,Neon,4,default,Medium,10000,47875523.64,51.82,false,0.0002
base_counting,naive,Naive,1,default,Large,100000,1202127.16,1.00,false,0.0832
base_counting,neon,Neon,1,default,Large,100000,16586154.71,13.80,false,0.0060
base_counting,neon_2t,Neon,2,default,Large,100000,30457625.83,25.34,false,0.0033
base_counting,neon_4t,Neon,4,default,Large,100000,60366715.72,50.22,false,0.0017
gc_content,naive,Naive,1,default,Tiny,100,1343797.03,1.00,false,0.0001
gc_content,neon,Neon,1,default,Tiny,100,20512820.51,15.26,false,0.0000
gc_content,neon_2t,Neon,2,default,Tiny,100,2654843.76,1.98,false,0.0000
gc_content,neon_4t,Neon,4,default,Tiny,100,1785714.29,1.33,false,0.0001
gc_content,naive,Naive,1,default,Small,1000,1472120.97,1.00,false,0.0007
gc_content,neon,Neon,1,default,Small,1000,23857238.29,16.21,false,0.0000
gc_content,neon_2t,Neon,2,default,Small,1000,22160664.82,15.05,false,0.0000
gc_content,neon_4t,Neon,4,default,Small,1000,16759963.80,11.38,false,0.0001
gc_content,naive,Naive,1,default,Medium,10000,1494033.35,1.00,false,0.0067
gc_content,neon,Neon,1,default,Medium,10000,23442096.85,15.69,false,0.0004
gc_content,neon_2t,Neon,2,default,Medium,10000,38077106.14,25.49,false,0.0003
gc_content,neon_4t,Neon,4,default,Medium,10000,54882031.07,36.73,false,0.0002
gc_content,naive,Naive,1,default,Large,100000,1452640.29,1.00,false,0.0688
gc_content,neon,Neon,1,default,Large,100000,21044324.61,14.49,false,0.0048
gc_content,neon_2t,Neon,2,default,Large,100000,39125544.09,26.93,false,0.0026
gc_content,neon_4t,Neon,4,default,Large,100000,68461920.80,47.13,false,0.0015
at_content,naive,Naive,1,default,Tiny,100,1703316.36,1.00,false,0.0001
at_content,neon,Neon,1,default,Tiny,100,25000000.00,14.68,false,0.0000
at_content,neon_2t,Neon,2,default,Tiny,100,3053435.11,1.79,false,0.0000
at_content,neon_4t,Neon,4,default,Tiny,100,1084504.60,0.64,false,0.0001
at_content,naive,Naive,1,default,Small,1000,2273161.24,1.00,false,0.0004
at_content,neon,Neon,1,default,Small,1000,32388663.97,14.25,false,0.0000
at_content,neon_2t,Neon,2,default,Small,1000,28235028.38,12.42,false,0.0000
at_content,neon_4t,Neon,4,default,Small,1000,21390374.33,9.41,false,0.0000
at_content,naive,Naive,1,default,Medium,10000,1952902.63,1.00,false,0.0051
at_content,neon,Neon,1,default,Medium,10000,27630644.60,14.15,false,0.0004
at_content,neon_2t,Neon,2,default,Medium,10000,29024037.71,14.86,false,0.0003
at_content,neon_4t,Neon,4,default,Medium,10000,45172219.09,23.13,false,0.0002
at_content,naive,Naive,1,default,Large,100000,1741558.53,1.00,false,0.0574
at_content,neon,Neon,1,default,Large,100000,26355378.03,15.13,false,0.0038
at_content,neon_2t,Neon,2,default,Large,100000,46738079.34,26.84,false,0.0021
at_content,neon_4t,Neon,4,default,Large,100000,87578481.27,50.29,false,0.0011
n_content,naive,Naive,1,default,Tiny,100,7920792.08,1.00,false,0.0000
n_content,neon,Neon,1,default,Tiny,100,35816618.91,4.52,false,0.0000
n_content,neon_2t,Neon,2,default,Tiny,100,2274898.77,0.29,false,0.0000
n_content,neon_4t,Neon,4,default,Tiny,100,1444043.32,0.18,false,0.0001
n_content,naive,Naive,1,default,Small,1000,13223140.50,1.00,false,0.0001
n_content,neon,Neon,1,default,Small,1000,71643501.93,5.42,false,0.0000
n_content,neon_2t,Neon,2,default,Small,1000,35139503.83,2.66,false,0.0000
n_content,neon_4t,Neon,4,default,Small,1000,21257599.59,1.61,false,0.0000
n_content,naive,Naive,1,default,Medium,10000,12401178.11,1.00,false,0.0008
n_content,neon,Neon,1,default,Medium,10000,62778185.84,5.06,false,0.0002
n_content,neon_2t,Neon,2,default,Medium,10000,83391707.53,6.72,false,0.0001
n_content,neon_4t,Neon,4,default,Medium,10000,89452639.30,7.21,false,0.0001
n_content,naive,Naive,1,default,Large,100000,11630159.98,1.00,false,0.0086
n_content,neon,Neon,1,default,Large,100000,45905778.39,3.95,false,0.0022
n_content,neon_2t,Neon,2,default,Large,100000,74492501.21,6.41,false,0.0013
n_content,neon_4t,Neon,4,default,Large,100000,129533678.76,11.14,false,0.0008
reverse_complement,naive,Naive,1,default,Tiny,100,9958175.66,1.00,false,0.0000
reverse_complement,neon,Neon,1,default,Tiny,100,14457134.60,1.45,false,0.0000
reverse_complement,neon_2t,Neon,2,default,Tiny,100,2843574.94,0.29,false,0.0000
reverse_complement,neon_4t,Neon,4,default,Tiny,100,2471699.05,0.25,false,0.0000
reverse_complement,naive,Naive,1,default,Small,1000,13008130.08,1.00,false,0.0001
reverse_complement,neon,Neon,1,default,Small,1000,11505229.13,0.88,false,0.0001
reverse_complement,neon_2t,Neon,2,default,Small,1000,15655577.30,1.20,false,0.0001
reverse_complement,neon_4t,Neon,4,default,Small,1000,13986013.99,1.08,false,0.0001
reverse_complement,naive,Naive,1,default,Medium,10000,10857268.18,1.00,false,0.0009
reverse_complement,neon,Neon,1,default,Medium,10000,12587847.44,1.16,false,0.0008
reverse_complement,neon_2t,Neon,2,default,Medium,10000,22490863.09,2.07,false,0.0004
reverse_complement,neon_4t,Neon,4,default,Medium,10000,35629411.37,3.28,false,0.0003
reverse_complement,naive,Naive,1,default,Large,100000,9299406.00,1.00,false,0.0108
reverse_complement,neon,Neon,1,default,Large,100000,8945977.75,0.96,false,0.0112
reverse_complement,neon_2t,Neon,2,default,Large,100000,19453042.69,2.09,false,0.0051
reverse_complement,neon_4t,Neon,4,default,Large,100000,35619410.87,3.83,false,0.0028
sequence_length,naive,Naive,1,default,Tiny,100,48007681.23,1.00,false,0.0000
sequence_length,neon,Neon,1,default,Tiny,100,266666666.67,5.55,false,0.0000
sequence_length,neon_2t,Neon,2,default,Tiny,100,1907778.01,0.04,false,0.0001
sequence_length,neon_4t,Neon,4,default,Tiny,100,2649006.62,0.06,false,0.0000
sequence_length,naive,Naive,1,default,Small,1000,857632933.10,1.00,false,0.0000
sequence_length,neon,Neon,1,default,Small,1000,960614793.47,1.12,false,0.0000
sequence_length,neon_2t,Neon,2,default,Small,1000,51282051.28,0.06,false,0.0000
sequence_length,neon_4t,Neon,4,default,Small,1000,29592803.03,0.03,false,0.0000
sequence_length,naive,Naive,1,default,Medium,10000,1100836635.84,1.00,false,0.0000
sequence_length,neon,Neon,1,default,Medium,10000,1194029850.75,1.08,false,0.0000
sequence_length,neon_2t,Neon,2,default,Medium,10000,295569414.48,0.27,false,0.0000
sequence_length,neon_4t,Neon,4,default,Medium,10000,240003840.06,0.22,false,0.0000
sequence_length,naive,Naive,1,default,Large,100000,235988200.59,1.00,false,0.0004
sequence_length,neon,Neon,1,default,Large,100000,267379679.14,1.13,false,0.0004
sequence_length,neon_2t,Neon,2,default,Large,100000,405201162.12,1.72,false,0.0002
sequence_length,neon_4t,Neon,4,default,Large,100000,418848167.54,1.77,false,0.0002
quality_aggregation,naive,Naive,1,default,Tiny,100,4571428.57,1.00,false,0.0000
quality_aggregation,neon,Neon,1,default,Tiny,100,50000000.00,10.94,false,0.0000
quality_aggregation,neon_2t,Neon,2,default,Tiny,100,3238866.40,0.71,false,0.0000
quality_aggregation,neon_4t,Neon,4,default,Tiny,100,2156334.23,0.47,false,0.0000
quality_aggregation,naive,Naive,1,default,Small,1000,7058806.92,1.00,false,0.0001
quality_aggregation,neon,Neon,1,default,Small,1000,75471698.11,10.69,false,0.0000
quality_aggregation,neon_2t,Neon,2,default,Small,1000,33472803.35,4.74,false,0.0000
quality_aggregation,neon_4t,Neon,4,default,Small,1000,24844720.50,3.52,false,0.0000
quality_aggregation,naive,Naive,1,default,Medium,10000,6925207.76,1.00,false,0.0014
quality_aggregation,neon,Neon,1,default,Medium,10000,66207188.78,9.56,false,0.0002
quality_aggregation,neon_2t,Neon,2,default,Medium,10000,98522167.49,14.23,false,0.0001
quality_aggregation,neon_4t,Neon,4,default,Medium,10000,137931034.48,19.92,false,0.0001
quality_aggregation,naive,Naive,1,default,Large,100000,6483279.75,1.00,false,0.0154
quality_aggregation,neon,Neon,1,default,Large,100000,46705335.57,7.20,false,0.0021
quality_aggregation,neon_2t,Neon,2,default,Large,100000,77576991.29,11.97,false,0.0013
quality_aggregation,neon_4t,Neon,4,default,Large,100000,78629209.81,12.13,false,0.0013
quality_filter,naive,Naive,1,default,Tiny,100,40000000.00,1.00,false,0.0000
quality_filter,neon,Neon,1,default,Tiny,100,58513750.73,1.46,false,0.0000
quality_filter,neon_2t,Neon,2,default,Tiny,100,2634421.35,0.07,false,0.0000
quality_filter,neon_4t,Neon,4,default,Tiny,100,1962400.41,0.05,false,0.0001
quality_filter,naive,Naive,1,default,Small,1000,76923076.92,1.00,false,0.0000
quality_filter,neon,Neon,1,default,Small,1000,88558271.34,1.15,false,0.0000
quality_filter,neon_2t,Neon,2,default,Small,1000,31209038.14,0.41,false,0.0000
quality_filter,neon_4t,Neon,4,default,Small,1000,21778900.60,0.28,false,0.0000
quality_filter,naive,Naive,1,default,Medium,10000,48979511.87,1.00,false,0.0002
quality_filter,neon,Neon,1,default,Medium,10000,70298769.77,1.44,false,0.0001
quality_filter,neon_2t,Neon,2,default,Medium,10000,100882723.83,2.06,false,0.0001
quality_filter,neon_4t,Neon,4,default,Medium,10000,109041741.18,2.23,false,0.0001
quality_filter,naive,Naive,1,default,Large,100000,47751683.60,1.00,false,0.0021
quality_filter,neon,Neon,1,default,Large,100000,54494665.52,1.14,false,0.0018
quality_filter,neon_2t,Neon,2,default,Large,100000,91397235.23,1.91,false,0.0011
quality_filter,neon_4t,Neon,4,default,Large,100000,139074127.90,2.91,false,0.0007
length_filter,naive,Naive,1,default,Tiny,100,82781456.95,1.00,false,0.0000
length_filter,neon,Neon,1,default,Tiny,100,266666666.67,3.22,false,0.0000
length_filter,neon_2t,Neon,2,default,Tiny,100,3319502.07,0.04,false,0.0000
length_filter,neon_4t,Neon,4,default,Tiny,100,2877697.84,0.03,false,0.0000
length_filter,naive,Naive,1,default,Small,1000,888888888.89,1.00,false,0.0000
length_filter,neon,Neon,1,default,Small,1000,1142857142.86,1.29,false,0.0000
length_filter,neon_2t,Neon,2,default,Small,1000,56471651.23,0.06,false,0.0000
length_filter,neon_4t,Neon,4,default,Small,1000,29702676.21,0.03,false,0.0000
length_filter,naive,Naive,1,default,Medium,10000,967773153.97,1.00,false,0.0000
length_filter,neon,Neon,1,default,Medium,10000,944911650.76,0.98,false,0.0000
length_filter,neon_2t,Neon,2,default,Medium,10000,339466358.88,0.35,false,0.0000
length_filter,neon_4t,Neon,4,default,Medium,10000,277777777.78,0.29,false,0.0000
length_filter,naive,Naive,1,default,Large,100000,318006480.97,1.00,false,0.0003
length_filter,neon,Neon,1,default,Large,100000,331400165.70,1.04,false,0.0003
length_filter,neon_2t,Neon,2,default,Large,100000,386100386.10,1.21,false,0.0003
length_filter,neon_4t,Neon,4,default,Large,100000,436047145.42,1.37,false,0.0002
complexity_score,naive,Naive,1,default,Tiny,100,4536793.39,1.00,false,0.0000
complexity_score,neon,Neon,1,default,Tiny,100,5955216.77,1.31,false,0.0000
complexity_score,neon_2t,Neon,2,default,Tiny,100,2774540.81,0.61,false,0.0000
complexity_score,neon_4t,Neon,4,default,Tiny,100,2287910.68,0.50,false,0.0000
complexity_score,naive,Naive,1,default,Small,1000,5298013.25,1.00,false,0.0002
complexity_score,neon,Neon,1,default,Small,1000,5773405.39,1.09,false,0.0002
complexity_score,neon_2t,Neon,2,default,Small,1000,8444733.44,1.59,false,0.0001
complexity_score,neon_4t,Neon,4,default,Small,1000,10079730.67,1.90,false,0.0001
complexity_score,naive,Naive,1,default,Medium,10000,5750566.86,1.00,false,0.0017
complexity_score,neon,Neon,1,default,Medium,10000,5812263.88,1.01,false,0.0017
complexity_score,neon_2t,Neon,2,default,Medium,10000,11166945.84,1.94,false,0.0009
complexity_score,neon_4t,Neon,4,default,Medium,10000,17151452.47,2.98,false,0.0006
complexity_score,naive,Naive,1,default,Large,100000,5484372.96,1.00,false,0.0182
complexity_score,neon,Neon,1,default,Large,100000,5395089.12,0.98,false,0.0185
