operation,config_name,config_type,threads,affinity,scale,num_sequences,pruned,throughput_median,throughput_mean,throughput_std_dev,throughput_ci_lower,throughput_ci_upper,speedup_median,speedup_mean,speedup_std_dev,speedup_ci_lower,speedup_ci_upper,elapsed_median,elapsed_mean,elapsed_std_dev,elapsed_min,elapsed_max,elapsed_q1,elapsed_q3,elapsed_iqr,n_valid,n_outliers,n_warmup
base_counting,naive,Naive,1,default,Medium,10000,false,1319195.97,1318711.60,15354.16,1312978.91,1324444.29,1.0000,0.9996,0.0116,0.9953,1.0040,0.007580,0.007584,0.000089,0.007435,0.007779,0.007517,0.007660,0.000143,30,0,3
base_counting,neon,Neon,1,default,Medium,10000,false,22209883.40,22132374.85,219652.47,22045928.34,22218821.37,16.8359,16.7772,0.1665,16.7116,16.8427,0.000450,0.000452,0.000005,0.000448,0.000464,0.000449,0.000454,0.000006,27,3,3
base_counting,neon_2t,Neon,2,default,Medium,10000,false,38489842.22,38154753.93,1475107.32,37604001.65,38705506.21,29.1767,28.9227,1.1182,28.5052,29.3402,0.000260,0.000262,0.000010,0.000249,0.000284,0.000254,0.000271,0.000017,30,0,3
base_counting,neon_4t,Neon,4,default,Medium,10000,false,53602319.56,53274331.89,4388695.27,51635750.14,54912913.63,40.6326,40.3839,3.3268,39.1418,41.6260,0.000187,0.000189,0.000016,0.000164,0.000227,0.000178,0.000199,0.000021,30,0,3
base_counting,naive,Naive,1,default,Large,100000,false,1319594.16,1319565.96,4892.81,1317640.35,1321491.58,1.0000,1.0000,0.0037,0.9985,1.0014,0.075781,0.075783,0.000281,0.075275,0.076339,0.075535,0.076017,0.000482,27,3,3
base_counting,neon,Neon,1,default,Large,100000,false,20903193.90,20826748.87,327050.66,20695582.75,20957914.99,15.8406,15.7827,0.2478,15.6833,15.8821,0.004784,0.004803,0.000077,0.004703,0.005009,0.004755,0.004846,0.000092,26,4,3
base_counting,neon_2t,Neon,2,default,Large,100000,false,39927606.37,39369726.36,1819961.53,38690217.86,40049234.86,30.2575,29.8347,1.3792,29.3198,30.3497,0.002505,0.002545,0.000122,0.002411,0.002812,0.002437,0.002619,0.000182,30,0,3
base_counting,neon_4t,Neon,4,default,Large,100000,false,66778938.98,66836057.60,3059936.24,65693586.92,67978528.28,50.6057,50.6489,2.3188,49.7832,51.5147,0.001497,0.001499,0.000070,0.001396,0.001654,0.001440,0.001547,0.000106,30,0,3
base_counting,naive,Naive,1,default,VeryLarge,1000000,false,1312663.52,1308264.05,18630.62,1301063.90,1315464.20,1.0000,0.9966,0.0142,0.9912,1.0021,0.761811,0.764522,0.010950,0.751260,0.786029,0.755783,0.773202,0.017419,28,2,3
base_counting,neon,Neon,1,default,VeryLarge,1000000,false,19745106.86,19693310.43,298497.97,19575833.44,19810787.42,15.0420,15.0026,0.2274,14.9131,15.0921,0.050645,0.050790,0.000777,0.049578,0.052912,0.050406,0.051195,0.000788,27,3,3
base_counting,neon_2t,Neon,2,default,VeryLarge,1000000,false,37415347.78,37125395.18,766522.77,36823722.14,37427068.21,28.5034,28.2825,0.5839,28.0527,28.5123,0.026727,0.026947,0.000572,0.026342,0.028595,0.026526,0.027096,0.000570,27,3,3
base_counting,neon_4t,Neon,4,default,VeryLarge,1000000,false,69456301.33,69056066.58,2353168.30,68177477.75,69934655.40,52.9125,52.6076,1.7927,51.9383,53.2769,0.014396,0.014443,0.000420,0.013797,0.015553,0.014099,0.014713,0.000614,29,1,3
gc_content,naive,Naive,1,default,Medium,10000,false,1409327.46,1409702.53,30864.36,1397981.89,1421423.18,1.0000,1.0003,0.0219,0.9919,1.0086,0.007096,0.007097,0.000155,0.006777,0.007311,0.006972,0.007241,0.000269,29,1,3
gc_content,neon,Neon,1,default,Medium,10000,false,23505227.90,23637416.05,481650.60,23444246.46,23830585.64,16.6783,16.7721,0.3418,16.6351,16.9092,0.000425,0.000422,0.000009,0.000402,0.000436,0.000417,0.000429,0.000012,27,3,3
gc_content,neon_2t,Neon,2,default,Medium,10000,false,39389463.32,39501667.02,2476148.14,38561357.27,40441976.76,27.9491,28.0287,1.7570,27.3615,28.6959,0.000254,0.000254,0.000017,0.000233,0.000292,0.000239,0.000261,0.000022,29,1,3
gc_content,neon_4t,Neon,4,default,Medium,10000,false,56358032.09,57142449.05,4812466.98,55345646.11,58939251.98,39.9893,40.5459,3.4147,39.2710,41.8208,0.000177,0.000176,0.000015,0.000150,0.000209,0.000165,0.000183,0.000018,30,0,3
