operation,config_name,config_type,threads,affinity,scale,num_sequences,pruned,throughput_median,throughput_mean,throughput_std_dev,throughput_ci_lower,throughput_ci_upper,speedup_median,speedup_mean,speedup_std_dev,speedup_ci_lower,speedup_ci_upper,elapsed_median,elapsed_mean,elapsed_std_dev,elapsed_min,elapsed_max,elapsed_q1,elapsed_q3,elapsed_iqr,n_valid,n_outliers,n_warmup
base_counting,neon,Neon,1,default,Medium,10000,false,22577644.52,22532317.80,109773.46,22488292.33,22576343.27,16.9078,16.8739,0.0822,16.8409,16.9069,0.000443,0.000444,0.000002,0.000442,0.000450,0.000442,0.000444,0.000002,26,4,3
base_counting,neon,Neon,1,p_cores,Medium,10000,false,22308979.36,21967709.43,597318.93,21732628.33,22202790.53,16.7066,16.4511,0.4473,16.2750,16.6271,0.000448,0.000454,0.000011,0.000447,0.000484,0.000448,0.000462,0.000014,26,4,3
base_counting,neon,Neon,1,e_cores,Medium,10000,false,11816996.30,13234148.73,4517100.82,11547624.95,14920672.51,8.8495,9.9107,3.3827,8.6477,11.1737,0.000847,0.000843,0.000282,0.000462,0.001600,0.000543,0.001014,0.000470,30,0,3
base_counting,neon,Neon,1,default,Large,100000,false,19974700.49,19911094.97,294311.17,19801209.72,20020980.23,15.1227,15.0745,0.2228,14.9914,15.1577,0.005006,0.005023,0.000075,0.004852,0.005213,0.004972,0.005084,0.000112,30,0,3
base_counting,neon,Neon,1,p_cores,Large,100000,false,19735705.44,19738459.59,115562.38,19695312.74,19781606.45,14.9418,14.9438,0.0875,14.9112,14.9765,0.005067,0.005066,0.000030,0.005016,0.005127,0.005036,0.005089,0.000054,30,0,3
base_counting,neon,Neon,1,e_cores,Large,100000,false,19719004.19,19722112.43,133817.92,19666872.40,19777352.47,14.9291,14.9315,0.1013,14.8896,14.9733,0.005071,0.005071,0.000034,0.005001,0.005145,0.005043,0.005092,0.000049,25,5,3
gc_content,neon,Neon,1,default,Medium,10000,false,25223323.51,24753604.59,888505.93,24421868.28,25085340.91,16.9262,16.6110,0.5962,16.3884,16.8336,0.000396,0.000405,0.000015,0.000391,0.000439,0.000392,0.000420,0.000027,30,0,3
gc_content,neon,Neon,1,p_cores,Medium,10000,false,23734195.99,23658159.04,417996.44,23493652.18,23822665.90,15.9269,15.8759,0.2805,15.7655,15.9863,0.000421,0.000423,0.000008,0.000407,0.000441,0.000417,0.000429,0.000011,27,3,3
gc_content,neon,Neon,1,e_cores,Medium,10000,false,24265733.24,24155065.32,452877.82,23985976.96,24324153.69,16.2836,16.2094,0.3039,16.0959,16.3228,0.000412,0.000414,0.000008,0.000404,0.000435,0.000408,0.000423,0.000015,30,0,3
gc_content,neon,Neon,1,default,Large,100000,false,21864294.01,21829662.53,243405.79,21737229.92,21922095.14,14.8153,14.7918,0.1649,14.7292,14.8544,0.004573,0.004577,0.000046,0.004466,0.004693,0.004548,0.004611,0.000064,28,2,3
gc_content,neon,Neon,1,p_cores,Large,100000,false,21718967.22,21720541.84,138188.97,21668947.02,21772136.65,14.7168,14.7179,0.0936,14.6829,14.7528,0.004604,0.004604,0.000029,0.004544,0.004651,0.004584,0.004625,0.000041,30,0,3
gc_content,neon,Neon,1,e_cores,Large,100000,false,21723192.22,21696777.70,191665.77,21623993.21,21769562.19,14.7197,14.7018,0.1299,14.6524,14.7511,0.004603,0.004609,0.000041,0.004506,0.004685,0.004586,0.004641,0.000055,29,1,3
at_content,neon,Neon,1,default,Medium,10000,false,50309216.50,50403540.49,1925016.24,49659582.02,51147498.96,23.1027,23.1460,0.8840,22.8044,23.4877,0.000199,0.000198,0.000007,0.000186,0.000215,0.000194,0.000202,0.000008,27,3,3
at_content,neon,Neon,1,p_cores,Medium,10000,false,53103225.23,53258410.10,875483.33,52920063.22,53596756.98,24.3858,24.4570,0.4020,24.3017,24.6124,0.000188,0.000188,0.000003,0.000182,0.000194,0.000185,0.000190,0.000004,28,2,3
at_content,neon,Neon,1,e_cores,Medium,10000,false,56225735.83,55620815.03,1157052.45,55156770.47,56084859.59,25.8197,25.5419,0.5313,25.3288,25.7550,0.000178,0.000180,0.000004,0.000176,0.000190,0.000177,0.000182,0.000005,26,4,3
at_content,neon,Neon,1,default,Large,100000,false,31875049.80,31877940.96,299757.49,31764108.97,31991772.96,14.6353,14.6366,0.1376,14.5844,14.6889,0.003137,0.003137,0.000030,0.003091,0.003202,0.003114,0.003150,0.000036,29,1,3
