operation,config_name,config_type,threads,affinity,scale,num_sequences,pruned,throughput_median,throughput_mean,throughput_std_dev,throughput_ci_lower,throughput_ci_upper,speedup_median,speedup_mean,speedup_std_dev,speedup_ci_lower,speedup_ci_upper,elapsed_median,elapsed_mean,elapsed_std_dev,elapsed_min,elapsed_max,elapsed_q1,elapsed_q3,elapsed_iqr,n_valid,n_outliers,n_warmup
base_counting,naive,Naive,1,default,Tiny,100,false,1062891.28,1062643.26,1030.64,1062199.70,1063086.82,1.0000,0.9998,0.0010,0.9993,1.0002,0.000094,0.000094,0.000000,0.000094,0.000094,0.000094,0.000094,0.000000,23,7,3
base_counting,neon,Neon,1,default,Tiny,100,false,57142857.14,57142857.14,0.00,57142857.14,57142857.14,53.7617,53.7617,0.0000,53.7617,53.7617,0.000002,0.000002,0.000000,0.000002,0.000002,0.000002,0.000002,0.000000,21,9,3
base_counting,neon_2t,Neon,2,default,Tiny,100,false,3797372.22,3830157.47,313510.50,3711102.81,3949212.13,3.5727,3.6035,0.2950,3.4915,3.7155,0.000026,0.000026,0.000002,0.000022,0.000031,0.000025,0.000027,0.000002,29,1,3
base_counting,neon_4t,Neon,4,default,Tiny,100,false,2101647.69,2079620.18,486132.80,1898115.60,2261124.77,1.9773,1.9566,0.4574,1.7858,2.1273,0.000047,0.000050,0.000012,0.000035,0.000080,0.000041,0.000056,0.000015,29,1,3
base_counting,naive,Naive,1,default,Small,1000,false,1258782.51,1268009.80,71202.98,1241425.16,1294594.45,1.0000,1.0073,0.0566,0.9862,1.0284,0.000794,0.000791,0.000045,0.000745,0.000876,0.000748,0.000838,0.000090,30,0,3
base_counting,neon,Neon,1,default,Small,1000,false,23032983.23,23049219.61,67755.87,23022553.58,23075885.64,18.2978,18.3107,0.0538,18.2895,18.3319,0.000043,0.000043,0.000000,0.000043,0.000044,0.000043,0.000043,0.000000,27,3,3
base_counting,neon_2t,Neon,2,default,Small,1000,false,21352305.05,21856108.17,2790033.54,20814409.50,22897806.84,16.9627,17.3629,2.2165,16.5354,18.1904,0.000047,0.000046,0.000006,0.000037,0.000059,0.000041,0.000051,0.000010,30,0,3
base_counting,neon_4t,Neon,4,default,Small,1000,false,15486410.41,15953083.14,2534359.23,15006844.11,16899322.17,12.3027,12.6734,2.0133,11.9217,13.4251,0.000064,0.000063,0.000009,0.000046,0.000080,0.000056,0.000069,0.000013,29,1,3
base_counting,naive,Naive,1,default,Medium,10000,false,1333418.66,1331713.96,9533.47,1328154.50,1335273.41,1.0000,0.9987,0.0071,0.9961,1.0014,0.007500,0.007509,0.000054,0.007412,0.007629,0.007466,0.007562,0.000096,30,0,3
base_counting,neon,Neon,1,default,Medium,10000,false,21919826.04,21831526.87,397465.97,21680590.37,21982463.36,16.4388,16.3726,0.2981,16.2594,16.4858,0.000456,0.000458,0.000009,0.000450,0.000482,0.000451,0.000464,0.000013,29,1,3
