operation,scale,compression,config,memory_median,memory_mean,file_total_median,file_total_mean,file_load_median,file_load_mean,io_overhead_pct,amdahl_max_speedup
base_counting,Medium,uncompressed,naive,0.008284,0.008894,0.010025,0.010086,0.001887,0.001893,17.37,4.65
base_counting,Medium,uncompressed,neon,0.000486,0.000493,0.002299,0.002326,0.001816,0.001837,78.88,1.25
base_counting,Medium,gzip,naive,0.008203,0.008187,0.014025,0.014086,0.005772,0.005794,41.51,2.25
base_counting,Medium,gzip,neon,0.000466,0.000465,0.006394,0.006353,0.005847,0.005822,92.71,1.07
base_counting,Medium,zstd,naive,0.008202,0.008259,0.012003,0.012062,0.003682,0.003742,31.66,2.85
base_counting,Medium,zstd,neon,0.000475,0.000480,0.004133,0.004169,0.003619,0.003653,88.52,1.12
base_counting,Large,uncompressed,naive,0.082073,0.082211,0.104596,0.104661,0.021124,0.021204,21.53,3.93
base_counting,Large,uncompressed,neon,0.005214,0.005211,0.027471,0.028373,0.021866,0.022468,81.02,1.22
base_counting,Large,gzip,naive,0.087103,0.088579,0.145675,0.146027,0.061440,0.061492,40.21,2.31
base_counting,Large,gzip,neon,0.005614,0.006016,0.066928,0.067539,0.061345,0.061869,91.61,1.09
base_counting,Large,zstd,naive,0.085071,0.086458,0.123113,0.122918,0.037793,0.037814,30.90,2.91
base_counting,Large,zstd,neon,0.005332,0.005326,0.043345,0.043196,0.037571,0.037488,87.70,1.13
base_counting,VeryLarge,uncompressed,naive,0.868316,0.872509,1.121387,1.129754,0.226014,0.232544,22.57,3.78
base_counting,VeryLarge,uncompressed,neon,0.053899,0.053911,0.277261,0.281663,0.218957,0.222852,80.56,1.23
base_counting,VeryLarge,gzip,naive,0.877125,0.882133,1.528522,1.545277,0.624994,0.636926,42.62,2.20
base_counting,VeryLarge,gzip,neon,0.054340,0.054357,0.705790,0.705806,0.647143,0.647326,92.30,1.08
base_counting,VeryLarge,zstd,naive,0.891700,0.898654,1.326256,1.343479,0.416562,0.429776,32.77,2.77
base_counting,VeryLarge,zstd,neon,0.055857,0.057291,0.499980,0.503802,0.437287,0.442347,88.83,1.12
gc_content,Medium,uncompressed,naive,0.007356,0.007356,0.009507,0.009494,0.002120,0.002101,22.62,3.77
gc_content,Medium,uncompressed,neon,0.000460,0.000460,0.002637,0.002818,0.002142,0.002271,82.56,1.20
gc_content,Medium,gzip,naive,0.007637,0.007688,0.014783,0.015007,0.006633,0.006973,48.34,1.96
gc_content,Medium,gzip,neon,0.000461,0.000463,0.006694,0.006684,0.006195,0.006178,93.11,1.07
gc_content,Medium,zstd,naive,0.007507,0.007642,0.011205,0.011265,0.003852,0.003861,33.01,2.75
gc_content,Medium,zstd,neon,0.000458,0.000482,0.004269,0.004319,0.003812,0.003840,89.27,1.11
gc_content,Large,uncompressed,naive,0.074870,0.076294,0.096371,0.096529,0.022009,0.022038,22.31,3.82
gc_content,Large,uncompressed,neon,0.004915,0.004913,0.027160,0.027097,0.021866,0.021879,81.90,1.21
gc_content,Large,gzip,naive,0.074026,0.074022,0.136653,0.136679,0.062321,0.062294,45.83,2.06
gc_content,Large,gzip,neon,0.004935,0.004930,0.067257,0.067437,0.062031,0.062195,92.66,1.07
gc_content,Large,zstd,naive,0.076981,0.077653,0.115864,0.118841,0.040716,0.042019,33.56,2.71
gc_content,Large,zstd,neon,0.004960,0.005262,0.047214,0.048204,0.041307,0.042671,89.49,1.11
gc_content,VeryLarge,uncompressed,naive,0.748532,0.753494,0.999829,0.996856,0.224981,0.228512,25.13,3.46
gc_content,VeryLarge,uncompressed,neon,0.049379,0.049385,0.283805,0.290760,0.231331,0.236804,82.60,1.20
gc_content,VeryLarge,gzip,naive,0.757194,0.764113,1.429251,1.432329,0.657200,0.660467,47.02,2.01
gc_content,VeryLarge,gzip,neon,0.048077,0.048053,0.649732,0.649599,0.599941,0.599943,92.60,1.08
gc_content,VeryLarge,zstd,naive,0.725973,0.725876,1.082509,1.102987,0.341986,0.364862,32.94,2.76
gc_content,VeryLarge,zstd,neon,0.047123,0.047134,0.393650,0.396995,0.343995,0.347148,88.03,1.13
