warning: unused variable: `total_time`
   --> crates/asbb-cli/src/pilot_memory_footprint.rs:172:9
    |
172 |     let total_time = start.elapsed();
    |         ^^^^^^^^^^ help: if this is intentional, prefix it with an underscore: `_total_time`
    |
    = note: `#[warn(unused_variables)]` on by default

warning: `asbb-cli` (bin "asbb-pilot-memory") generated 1 warning
    Finished `release` profile [optimized] target(s) in 0.04s
     Running `target/release/asbb-pilot-memory`
=== Memory Footprint Pilot ===
Characterizing memory usage of load-all pattern

operation,scale,num_sequences,seq_length,baseline_mb,after_generation_mb,peak_mb,operation_memory_mb,time_ms
Running: base_counting @ Tiny (100 sequences)
base_counting,Tiny,100,150,2.78,2.91,3.05,0.27,1
  Memory: baseline=2.8MB, after_gen=2.9MB, peak=3.0MB, used=0.3MB, time=1ms
Running: base_counting @ Small (1000 sequences)
base_counting,Small,1000,150,3.14,3.64,3.67,0.53,4
  Memory: baseline=3.1MB, after_gen=3.6MB, peak=3.7MB, used=0.5MB, time=4ms
Running: base_counting @ Medium (10000 sequences)
base_counting,Medium,10000,150,3.67,7.33,7.33,3.66,2
  Memory: baseline=3.7MB, after_gen=7.3MB, peak=7.3MB, used=3.7MB, time=2ms
Running: base_counting @ Large (100000 sequences)
base_counting,Large,100000,150,7.33,43.42,43.42,36.09,6
  Memory: baseline=7.3MB, after_gen=43.4MB, peak=43.4MB, used=36.1MB, time=6ms
Running: base_counting @ VeryLarge (1000000 sequences)
base_counting,VeryLarge,1000000,150,43.42,403.73,403.73,360.31,54
  Memory: baseline=43.4MB, after_gen=403.7MB, peak=403.7MB, used=360.3MB, time=54ms
Running: gc_content @ Tiny (100 sequences)
gc_content,Tiny,100,150,403.73,403.75,403.78,0.05,6
  Memory: baseline=403.7MB, after_gen=403.8MB, peak=403.8MB, used=0.0MB, time=6ms
Running: gc_content @ Small (1000 sequences)
gc_content,Small,1000,150,403.78,403.78,403.78,0.00,3
  Memory: baseline=403.8MB, after_gen=403.8MB, peak=403.8MB, used=0.0MB, time=3ms
Running: gc_content @ Medium (10000 sequences)
gc_content,Medium,10000,150,403.86,404.66,404.69,0.83,2
  Memory: baseline=403.9MB, after_gen=404.7MB, peak=404.7MB, used=0.8MB, time=2ms
Running: gc_content @ Large (100000 sequences)
gc_content,Large,100000,150,404.69,406.23,406.23,1.55,6
  Memory: baseline=404.7MB, after_gen=406.2MB, peak=406.2MB, used=1.5MB, time=6ms
Running: gc_content @ VeryLarge (1000000 sequences)
gc_content,VeryLarge,1000000,150,406.23,412.12,412.12,5.89,41
  Memory: baseline=406.2MB, after_gen=412.1MB, peak=412.1MB, used=5.9MB, time=41ms
Running: quality_filter @ Tiny (100 sequences)
quality_filter,Tiny,100,150,412.12,412.12,412.12,0.00,6
  Memory: baseline=412.1MB, after_gen=412.1MB, peak=412.1MB, used=0.0MB, time=6ms
Running: quality_filter @ Small (1000 sequences)
quality_filter,Small,1000,150,412.12,412.20,412.20,0.08,4
  Memory: baseline=412.1MB, after_gen=412.2MB, peak=412.2MB, used=0.1MB, time=4ms
Running: quality_filter @ Medium (10000 sequences)
quality_filter,Medium,10000,150,412.20,412.20,412.20,0.00,2
  Memory: baseline=412.2MB, after_gen=412.2MB, peak=412.2MB, used=0.0MB, time=2ms
Running: quality_filter @ Large (100000 sequences)
quality_filter,Large,100000,150,412.20,419.08,419.08,6.88,5
  Memory: baseline=412.2MB, after_gen=419.1MB, peak=419.1MB, used=6.9MB, time=5ms
Running: quality_filter @ VeryLarge (1000000 sequences)
quality_filter,VeryLarge,1000000,150,419.08,430.97,430.97,11.89,26
  Memory: baseline=419.1MB, after_gen=431.0MB, peak=431.0MB, used=11.9MB, time=26ms
Running: sequence_length @ Tiny (100 sequences)
sequence_length,Tiny,100,150,430.97,430.98,431.06,0.09,7
  Memory: baseline=431.0MB, after_gen=431.0MB, peak=431.1MB, used=0.1MB, time=7ms
Running: sequence_length @ Small (1000 sequences)
sequence_length,Small,1000,150,431.06,431.06,431.06,0.00,4
  Memory: baseline=431.1MB, after_gen=431.1MB, peak=431.1MB, used=0.0MB, time=4ms
Running: sequence_length @ Medium (10000 sequences)
sequence_length,Medium,10000,150,431.06,431.06,431.06,0.00,2
  Memory: baseline=431.1MB, after_gen=431.1MB, peak=431.1MB, used=0.0MB, time=2ms
Running: sequence_length @ Large (100000 sequences)
sequence_length,Large,100000,150,431.06,431.23,431.23,0.17,2
  Memory: baseline=431.1MB, after_gen=431.2MB, peak=431.2MB, used=0.2MB, time=2ms
Running: sequence_length @ VeryLarge (1000000 sequences)
sequence_length,VeryLarge,1000000,150,431.23,440.98,440.98,9.75,3
  Memory: baseline=431.2MB, after_gen=441.0MB, peak=441.0MB, used=9.8MB, time=3ms
Running: reverse_complement @ Tiny (100 sequences)
reverse_complement,Tiny,100,150,440.98,440.98,441.00,0.02,4
  Memory: baseline=441.0MB, after_gen=441.0MB, peak=441.0MB, used=0.0MB, time=4ms
Running: reverse_complement @ Small (1000 sequences)
reverse_complement,Small,1000,150,441.00,441.00,441.11,0.11,4
  Memory: baseline=441.0MB, after_gen=441.0MB, peak=441.1MB, used=0.1MB, time=4ms
Running: reverse_complement @ Medium (10000 sequences)
reverse_complement,Medium,10000,150,441.19,441.19,441.88,0.69,3
  Memory: baseline=441.2MB, after_gen=441.2MB, peak=441.9MB, used=0.7MB, time=3ms
Running: reverse_complement @ Large (100000 sequences)
reverse_complement,Large,100000,150,441.88,448.91,458.69,16.81,13
  Memory: baseline=441.9MB, after_gen=448.9MB, peak=458.7MB, used=16.8MB, time=13ms
Running: reverse_complement @ VeryLarge (1000000 sequences)
reverse_complement,VeryLarge,1000000,150,458.69,466.34,715.52,256.83,131
  Memory: baseline=458.7MB, after_gen=466.3MB, peak=715.5MB, used=256.8MB, time=131ms

=== Pilot Complete ===
