operation,complexity,scale,num_sequences,threads,assignment,time_ms,speedup_vs_1t,efficiency,throughput_seqs_per_sec
base_counting,0.40,Tiny,100,1,default,0.019833,1.0000,1.0000,5042012.57
base_counting,0.40,Tiny,100,2,default,0.027644,0.7175,0.3587,3617428.04
base_counting,0.40,Tiny,100,2,p_cores,0.027548,0.7200,0.3600,3630067.12
base_counting,0.40,Tiny,100,2,e_cores,0.064665,0.3067,0.1534,1546442.37
base_counting,0.40,Tiny,100,4,default,0.046618,0.4254,0.1064,2145079.64
base_counting,0.40,Tiny,100,4,p_cores,0.046579,0.4258,0.1065,2146892.66
base_counting,0.40,Tiny,100,4,e_cores,0.085048,0.2332,0.0583,1175805.91
base_counting,0.40,Tiny,100,8,default,0.102685,0.1931,0.0241,973847.80
base_counting,0.40,Tiny,100,8,p_cores,0.103448,0.1917,0.0240,966669.71
base_counting,0.40,Tiny,100,8,e_cores,0.175085,0.1133,0.0142,571150.34
base_counting,0.40,Small,1000,1,default,0.064693,1.0000,1.0000,15457622.93
base_counting,0.40,Small,1000,2,default,0.042998,1.5046,0.7523,23256976.80
base_counting,0.40,Small,1000,2,p_cores,0.041737,1.5500,0.7750,23959677.12
base_counting,0.40,Small,1000,2,e_cores,0.068075,0.9503,0.4752,14689782.71
base_counting,0.40,Small,1000,4,default,0.062908,1.0284,0.2571,15896191.51
base_counting,0.40,Small,1000,4,p_cores,0.057923,1.1169,0.2792,17264358.77
base_counting,0.40,Small,1000,4,e_cores,0.092368,0.7004,0.1751,10826216.99
base_counting,0.40,Small,1000,8,default,0.115592,0.5597,0.0700,8651105.91
base_counting,0.40,Small,1000,8,p_cores,0.118485,0.5460,0.0683,8439865.54
base_counting,0.40,Small,1000,8,e_cores,0.200640,0.3224,0.0403,4984058.49
base_counting,0.40,Medium,10000,1,default,0.510806,1.0000,1.0000,19576896.29
base_counting,0.40,Medium,10000,2,default,0.258273,1.9778,0.9889,38718720.11
base_counting,0.40,Medium,10000,2,p_cores,0.259070,1.9717,0.9858,38599590.60
base_counting,0.40,Medium,10000,2,e_cores,0.298434,1.7116,0.8558,33508234.56
base_counting,0.40,Medium,10000,4,default,0.193656,2.6377,0.6594,51637889.30
base_counting,0.40,Medium,10000,4,p_cores,0.192633,2.6517,0.6629,51912091.03
base_counting,0.40,Medium,10000,4,e_cores,0.261938,1.9501,0.4875,38177046.05
base_counting,0.40,Medium,10000,8,default,0.209069,2.4432,0.3054,47831156.02
base_counting,0.40,Medium,10000,8,p_cores,0.219763,2.3244,0.2905,45503648.03
base_counting,0.40,Medium,10000,8,e_cores,0.276127,1.8499,0.2312,36215193.58
base_counting,0.40,Large,100000,1,default,5.127881,1.0000,1.0000,19501231.24
base_counting,0.40,Large,100000,2,default,2.621964,1.9557,0.9779,38139342.43
base_counting,0.40,Large,100000,2,p_cores,2.864973,1.7899,0.8949,34904342.90
base_counting,0.40,Large,100000,2,e_cores,2.734993,1.8749,0.9375,36563159.95
base_counting,0.40,Large,100000,4,default,1.550915,3.3064,0.8266,64478084.88
base_counting,0.40,Large,100000,4,p_cores,1.504210,3.4090,0.8523,66480065.29
base_counting,0.40,Large,100000,4,e_cores,1.551740,3.3046,0.8262,64443798.14
base_counting,0.40,Large,100000,8,default,1.092944,4.6918,0.5865,91496025.44
base_counting,0.40,Large,100000,8,p_cores,1.139996,4.4982,0.5623,87719621.42
base_counting,0.40,Large,100000,8,e_cores,1.269798,4.0383,0.5048,78752680.40
base_counting,0.40,VeryLarge,1000000,1,default,53.498879,1.0000,1.0000,18691980.39
base_counting,0.40,VeryLarge,1000000,2,default,28.306554,1.8900,0.9450,35327507.30
base_counting,0.40,VeryLarge,1000000,2,p_cores,29.023969,1.8433,0.9216,34454282.04
base_counting,0.40,VeryLarge,1000000,2,e_cores,28.637787,1.8681,0.9341,34918898.90
base_counting,0.40,VeryLarge,1000000,4,default,14.901237,3.5902,0.8976,67108522.84
base_counting,0.40,VeryLarge,1000000,4,p_cores,14.740796,3.6293,0.9073,67838941.18
base_counting,0.40,VeryLarge,1000000,4,e_cores,15.680519,3.4118,0.8530,63773399.95
base_counting,0.40,VeryLarge,1000000,8,default,10.931498,4.8940,0.6118,91478770.80
base_counting,0.40,VeryLarge,1000000,8,p_cores,10.881800,4.9164,0.6145,91896557.23
base_counting,0.40,VeryLarge,1000000,8,e_cores,10.765408,4.9695,0.6212,92890112.31
base_counting,0.40,Huge,10000000,1,default,596.249592,1.0000,1.0000,16771499.94
base_counting,0.40,Huge,10000000,2,default,283.408480,2.1039,1.0519,35284759.26
base_counting,0.40,Huge,10000000,2,p_cores,283.457555,2.1035,1.0517,35278650.48
base_counting,0.40,Huge,10000000,2,e_cores,283.851382,2.1006,1.0503,35229703.46
base_counting,0.40,Huge,10000000,4,default,146.716329,4.0640,1.0160,68158739.10
base_counting,0.40,Huge,10000000,4,p_cores,151.317521,3.9404,0.9851,66086200.31
base_counting,0.40,Huge,10000000,4,e_cores,154.798395,3.8518,0.9629,64600153.08
base_counting,0.40,Huge,10000000,8,default,107.227235,5.5606,0.6951,93259889.05
base_counting,0.40,Huge,10000000,8,p_cores,109.753439,5.4326,0.6791,91113318.49
base_counting,0.40,Huge,10000000,8,e_cores,107.879507,5.5270,0.6909,92696011.57
gc_content,0.32,Tiny,100,1,default,0.018443,1.0000,1.0000,5422095.90
gc_content,0.32,Tiny,100,2,default,0.027973,0.6593,0.3297,3574894.94
gc_content,0.32,Tiny,100,2,p_cores,0.026208,0.7037,0.3519,3815585.14
gc_content,0.32,Tiny,100,2,e_cores,0.045185,0.4082,0.2041,2213104.23
gc_content,0.32,Tiny,100,4,default,0.046277,0.3985,0.0996,2160893.66
gc_content,0.32,Tiny,100,4,p_cores,0.041533,0.4441,0.1110,2407700.79
gc_content,0.32,Tiny,100,4,e_cores,0.074706,0.2469,0.0617,1338578.68
gc_content,0.32,Tiny,100,8,default,0.096925,0.1903,0.0238,1031723.96
gc_content,0.32,Tiny,100,8,p_cores,0.095860,0.1924,0.0240,1043183.09
gc_content,0.32,Tiny,100,8,e_cores,0.169661,0.1087,0.0136,589412.21
gc_content,0.32,Small,1000,1,default,0.056240,1.0000,1.0000,17781033.68
gc_content,0.32,Small,1000,2,default,0.039971,1.4070,0.7035,25018294.63
gc_content,0.32,Small,1000,2,p_cores,0.037815,1.4872,0.7436,26444777.35
gc_content,0.32,Small,1000,2,e_cores,0.067909,0.8282,0.4141,14725686.24
gc_content,0.32,Small,1000,4,default,0.065044,0.8646,0.2162,15374279.14
gc_content,0.32,Small,1000,4,p_cores,0.056710,0.9917,0.2479,17633443.40
gc_content,0.32,Small,1000,4,e_cores,0.092213,0.6099,0.1525,10844510.86
gc_content,0.32,Small,1000,8,default,0.129086,0.4357,0.0545,7746801.90
gc_content,0.32,Small,1000,8,p_cores,0.116227,0.4839,0.0605,8603856.51
gc_content,0.32,Small,1000,8,e_cores,0.192004,0.2929,0.0366,5208220.76
gc_content,0.32,Medium,10000,1,default,0.463554,1.0000,1.0000,21572452.75
gc_content,0.32,Medium,10000,2,default,0.241487,1.9196,0.9598,41410114.66
gc_content,0.32,Medium,10000,2,p_cores,0.247024,1.8766,0.9383,40481862.00
gc_content,0.32,Medium,10000,2,e_cores,0.277943,1.6678,0.8339,35978606.74
gc_content,0.32,Medium,10000,4,default,0.171367,2.7050,0.6763,58354462.51
gc_content,0.32,Medium,10000,4,p_cores,0.167992,2.7594,0.6898,59526697.28
gc_content,0.32,Medium,10000,4,e_cores,0.195750,2.3681,0.5920,51085568.33
gc_content,0.32,Medium,10000,8,default,0.188360,2.4610,0.3076,53089687.06
gc_content,0.32,Medium,10000,8,p_cores,0.180660,2.5659,0.3207,55352458.16
gc_content,0.32,Medium,10000,8,e_cores,0.249221,1.8600,0.2325,40125085.94
gc_content,0.32,Large,100000,1,default,4.799479,1.0000,1.0000,20835594.21
gc_content,0.32,Large,100000,2,default,2.461229,1.9500,0.9750,40630107.14
gc_content,0.32,Large,100000,2,p_cores,2.453683,1.9560,0.9780,40755053.39
gc_content,0.32,Large,100000,2,e_cores,2.519272,1.9051,0.9526,39694008.50
gc_content,0.32,Large,100000,4,default,1.336164,3.5920,0.8980,74841087.11
gc_content,0.32,Large,100000,4,p_cores,1.347383,3.5621,0.8905,74217922.15
gc_content,0.32,Large,100000,4,e_cores,1.379061,3.4803,0.8701,72513132.22
gc_content,0.32,Large,100000,8,default,1.000344,4.7978,0.5997,99965631.82
gc_content,0.32,Large,100000,8,p_cores,1.067333,4.4967,0.5621,93691445.77
gc_content,0.32,Large,100000,8,e_cores,1.044204,4.5963,0.5745,95766722.99
gc_content,0.32,VeryLarge,1000000,1,default,48.995087,1.0000,1.0000,20410209.53
gc_content,0.32,VeryLarge,1000000,2,default,24.984108,1.9611,0.9805,40025444.13
gc_content,0.32,VeryLarge,1000000,2,p_cores,24.999033,1.9599,0.9799,40001546.62
gc_content,0.32,VeryLarge,1000000,2,e_cores,25.015363,1.9586,0.9793,39975434.94
gc_content,0.32,VeryLarge,1000000,4,default,12.997579,3.7696,0.9424,76937405.35
gc_content,0.32,VeryLarge,1000000,4,p_cores,13.131158,3.7312,0.9328,76154744.09
gc_content,0.32,VeryLarge,1000000,4,e_cores,13.624433,3.5961,0.8990,73397547.67
gc_content,0.32,VeryLarge,1000000,8,default,9.418572,5.2020,0.6502,106173203.42
gc_content,0.32,VeryLarge,1000000,8,p_cores,9.740890,5.0298,0.6287,102660028.09
gc_content,0.32,VeryLarge,1000000,8,e_cores,10.311105,4.7517,0.5940,96982813.13
gc_content,0.32,Huge,10000000,1,default,504.739811,1.0000,1.0000,19812187.93
gc_content,0.32,Huge,10000000,2,default,251.372851,2.0079,1.0040,39781543.50
gc_content,0.32,Huge,10000000,2,p_cores,250.657344,2.0137,1.0068,39895100.80
gc_content,0.32,Huge,10000000,2,e_cores,250.677088,2.0135,1.0068,39891958.58
gc_content,0.32,Huge,10000000,4,default,132.043833,3.8225,0.9556,75732427.22
gc_content,0.32,Huge,10000000,4,p_cores,138.021015,3.6570,0.9142,72452735.09
gc_content,0.32,Huge,10000000,4,e_cores,140.907275,3.5821,0.8955,70968656.52
gc_content,0.32,Huge,10000000,8,default,94.227129,5.3566,0.6696,106126548.40
gc_content,0.32,Huge,10000000,8,p_cores,97.204873,5.1925,0.6491,102875501.12
gc_content,0.32,Huge,10000000,8,e_cores,96.130511,5.2506,0.6563,104025245.49
at_content,0.35,Tiny,100,1,default,0.017388,1.0000,1.0000,5751040.48
at_content,0.35,Tiny,100,2,default,0.026960,0.6450,0.3225,3709164.42
at_content,0.35,Tiny,100,2,p_cores,0.023665,0.7348,0.3674,4225721.12
at_content,0.35,Tiny,100,2,e_cores,0.043521,0.3995,0.1998,2297754.52
at_content,0.35,Tiny,100,4,default,0.041873,0.4153,0.1038,2388170.91
at_content,0.35,Tiny,100,4,p_cores,0.040279,0.4317,0.1079,2482670.96
at_content,0.35,Tiny,100,4,e_cores,0.071083,0.2446,0.0612,1406801.18
at_content,0.35,Tiny,100,8,default,0.101267,0.1717,0.0215,987491.45
at_content,0.35,Tiny,100,8,p_cores,0.097400,0.1785,0.0223,1026692.99
at_content,0.35,Tiny,100,8,e_cores,0.143796,0.1209,0.0151,695430.60
