operation,complexity,scale,num_sequences,backend,time_ms,speedup_vs_naive,speedup_vs_neon,throughput_seqs_per_sec
edit_distance,0.70,Tiny,100,naive,145.962167,1.0000,1.0000,685.11
edit_distance,0.70,Tiny,100,neon,123.129667,1.1854,1.0000,812.15
edit_distance,0.70,Tiny,100,amx,134.334541,1.0866,0.9166,744.41
edit_distance,0.70,Tiny,100,parallel_amx,35.625042,4.0972,3.4563,2807.01
edit_distance,0.70,Small,1000,naive,134.640375,1.0000,1.0000,7427.19
edit_distance,0.70,Small,1000,neon,122.554459,1.0986,1.0000,8159.64
edit_distance,0.70,Small,1000,amx,135.292417,0.9952,0.9058,7391.40
edit_distance,0.70,Small,1000,parallel_amx,34.546625,3.8974,3.5475,28946.39
edit_distance,0.70,Medium,10000,naive,140.373333,1.0000,1.0000,71238.60
edit_distance,0.70,Medium,10000,neon,122.932583,1.1419,1.0000,81345.40
edit_distance,0.70,Medium,10000,amx,135.155667,1.0386,0.9096,73988.76
edit_distance,0.70,Medium,10000,parallel_amx,34.510083,4.0676,3.5622,289770.38
edit_distance,0.70,Large,100000,naive,133.974500,1.0000,1.0000,746410.70
edit_distance,0.70,Large,100000,neon,120.760125,1.1094,1.0000,828087.91
edit_distance,0.70,Large,100000,amx,133.390542,1.0044,0.9053,749678.34
edit_distance,0.70,Large,100000,parallel_amx,34.871459,3.8420,3.4630,2867674.68
edit_distance,0.70,VeryLarge,1000000,naive,136.768083,1.0000,1.0000,7311647.41
edit_distance,0.70,VeryLarge,1000000,neon,125.753750,1.0876,1.0000,7952049.14
edit_distance,0.70,VeryLarge,1000000,amx,135.343209,1.0105,0.9291,7388623.39
edit_distance,0.70,VeryLarge,1000000,parallel_amx,34.751375,3.9356,3.6187,28775839.80
edit_distance,0.70,Huge,10000000,naive,138.782542,1.0000,1.0000,72055172.47
edit_distance,0.70,Huge,10000000,neon,127.674041,1.0870,1.0000,78324457.51
edit_distance,0.70,Huge,10000000,amx,140.304875,0.9891,0.9100,71273360.96
edit_distance,0.70,Huge,10000000,parallel_amx,34.986750,3.9667,3.6492,285822489.94
