operation,scale,num_sequences,config,pattern,baseline_mb,peak_mb,memory_used_mb,memory_per_seq_bytes,elapsed_sec
base_counting,Small,1000,naive,batch,4.52,4.47,-0.05,-49.15,0.0059
base_counting,Small,1000,naive,streaming,4.69,4.69,0.00,0.00,0.0064
base_counting,Small,1000,neon,batch,4.84,4.73,-0.11,-114.69,0.0054
base_counting,Small,1000,neon,streaming,4.86,4.84,-0.02,-16.38,0.0055
base_counting,Medium,10000,naive,batch,11.31,10.62,-0.69,-72.09,0.0342
base_counting,Medium,10000,naive,streaming,11.31,11.31,0.00,0.00,0.0496
base_counting,Medium,10000,neon,batch,11.39,11.31,-0.08,-8.19,0.0270
base_counting,Medium,10000,neon,streaming,11.42,11.42,0.00,0.00,0.0442
base_counting,Large,100000,naive,batch,68.52,68.52,0.00,0.00,0.3235
base_counting,Large,100000,naive,streaming,68.61,68.61,0.00,0.00,0.4982
base_counting,Large,100000,neon,batch,68.61,68.61,0.00,0.00,0.2443
base_counting,Large,100000,neon,streaming,68.64,68.64,0.00,0.00,0.4190
base_counting,VeryLarge,1000000,naive,batch,719.41,649.92,-69.48,-72.86,3.2003
base_counting,VeryLarge,1000000,naive,streaming,719.41,719.41,0.00,0.00,5.3058
base_counting,VeryLarge,1000000,neon,batch,719.41,719.41,0.00,0.00,2.4084
base_counting,VeryLarge,1000000,neon,streaming,719.41,719.41,0.00,0.00,4.1429
gc_content,Small,1000,naive,batch,719.41,719.41,0.00,0.00,0.0060
gc_content,Small,1000,naive,streaming,719.41,719.41,0.00,0.00,0.0063
gc_content,Small,1000,neon,batch,719.41,719.41,0.00,0.00,0.0054
gc_content,Small,1000,neon,streaming,719.41,719.41,0.00,0.00,0.0057
gc_content,Medium,10000,naive,batch,719.41,719.41,0.00,0.00,0.0325
gc_content,Medium,10000,naive,streaming,719.41,719.41,0.00,0.00,0.0493
gc_content,Medium,10000,neon,batch,719.41,719.41,0.00,0.00,0.0267
gc_content,Medium,10000,neon,streaming,719.41,719.41,0.00,0.00,0.0431
gc_content,Large,100000,naive,batch,719.41,719.41,0.00,0.00,0.3019
gc_content,Large,100000,naive,streaming,719.41,719.41,0.00,0.00,0.4805
gc_content,Large,100000,neon,batch,719.41,719.41,0.00,0.00,0.2417
gc_content,Large,100000,neon,streaming,719.41,719.41,0.00,0.00,0.4185
gc_content,VeryLarge,1000000,naive,batch,719.41,719.41,0.00,0.00,2.9938
gc_content,VeryLarge,1000000,naive,streaming,719.41,719.41,0.00,0.00,4.8796
gc_content,VeryLarge,1000000,neon,batch,719.41,719.41,0.00,0.00,2.3953
gc_content,VeryLarge,1000000,neon,streaming,719.41,719.41,0.00,0.00,4.2167
quality_filter,Small,1000,naive,batch,719.41,719.41,0.00,0.00,0.0056
quality_filter,Small,1000,naive,streaming,719.42,719.42,0.00,0.00,0.0057
quality_filter,Small,1000,neon,batch,719.42,719.42,0.00,0.00,0.0055
quality_filter,Small,1000,neon,streaming,719.42,719.42,0.00,0.00,0.0057
quality_filter,Medium,10000,naive,batch,719.42,719.42,0.00,0.00,0.0269
quality_filter,Medium,10000,naive,streaming,719.42,719.42,0.00,0.00,0.0424
quality_filter,Medium,10000,neon,batch,719.42,719.42,0.00,0.00,0.0265
quality_filter,Medium,10000,neon,streaming,719.42,719.42,0.00,0.00,0.0421
quality_filter,Large,100000,naive,batch,719.42,719.42,0.00,0.00,0.2411
quality_filter,Large,100000,naive,streaming,719.42,719.42,0.00,0.00,0.4085
quality_filter,Large,100000,neon,batch,719.42,719.42,0.00,0.00,0.2406
quality_filter,Large,100000,neon,streaming,719.42,719.42,0.00,0.00,0.4088
quality_filter,VeryLarge,1000000,naive,batch,719.42,719.42,0.00,0.00,2.3791
quality_filter,VeryLarge,1000000,naive,streaming,719.42,719.42,0.00,0.00,4.0695
quality_filter,VeryLarge,1000000,neon,batch,719.42,719.42,0.00,0.00,2.3742
quality_filter,VeryLarge,1000000,neon,streaming,719.42,719.42,0.00,0.00,4.1531
