operation,scale,num_sequences,config,pattern,baseline_mb,peak_mb,memory_used_mb,memory_per_seq_kb,elapsed_sec
base_counting,Medium,10000,naive,batch,15.67,12.42,-3.25,-0.3328,0.0185
base_counting,Medium,10000,naive,streaming,3.97,3.95,-0.02,-0.0016,0.0207
base_counting,Medium,10000,neon,batch,9.97,9.66,-0.31,-0.0320,0.0107
base_counting,Medium,10000,neon,streaming,4.25,3.94,-0.31,-0.0320,0.0127
base_counting,Large,100000,naive,batch,95.11,94.94,-0.17,-0.0018,0.1483
base_counting,Large,100000,naive,streaming,4.86,4.86,0.00,0.0000,0.1824
base_counting,Large,100000,neon,batch,95.20,95.14,-0.06,-0.0006,0.0738
base_counting,Large,100000,neon,streaming,4.41,4.28,-0.12,-0.0013,0.1039
base_counting,VeryLarge,1000000,naive,batch,1344.67,1309.05,-35.62,-0.0365,1.4714
base_counting,VeryLarge,1000000,naive,streaming,5.03,4.53,-0.50,-0.0005,1.8221
base_counting,VeryLarge,1000000,neon,batch,1148.11,1094.66,-53.45,-0.0547,0.6956
base_counting,VeryLarge,1000000,neon,streaming,4.50,4.28,-0.22,-0.0002,1.0121
gc_content,Medium,10000,naive,batch,12.47,12.41,-0.06,-0.0064,0.0177
gc_content,Medium,10000,naive,streaming,3.94,3.94,0.00,0.0000,0.0204
gc_content,Medium,10000,neon,batch,9.92,9.75,-0.17,-0.0176,0.0110
gc_content,Medium,10000,neon,streaming,3.92,3.92,0.00,0.0000,0.0133
gc_content,Large,100000,naive,batch,95.17,94.98,-0.19,-0.0019,0.1386
gc_content,Large,100000,naive,streaming,4.27,4.27,0.00,0.0000,0.1759
gc_content,Large,100000,neon,batch,94.95,94.95,0.00,0.0000,0.0729
gc_content,Large,100000,neon,streaming,4.44,4.41,-0.03,-0.0003,0.1085
gc_content,VeryLarge,1000000,naive,batch,1233.59,1150.48,-83.12,-0.0851,1.3417
gc_content,VeryLarge,1000000,naive,streaming,4.84,4.66,-0.19,-0.0002,1.7325
gc_content,VeryLarge,1000000,neon,batch,1298.41,1252.97,-45.44,-0.0465,0.6882
gc_content,VeryLarge,1000000,neon,streaming,5.94,5.38,-0.56,-0.0006,1.0644
