operation,scale,num_sequences,config,pattern,throughput_median,throughput_mean,throughput_std_dev,elapsed_median,elapsed_mean
base_counting,Small,1000,naive,batch,1323171.55,1319455.63,31760.71,0.000756,0.000758
base_counting,Small,1000,naive,streaming,952950.13,976077.55,38151.89,0.001049,0.001026
base_counting,Small,1000,neon,batch,25641025.64,25538539.15,374691.11,0.000039,0.000039
base_counting,Small,1000,neon,streaming,3950954.74,3954384.36,107979.26,0.000253,0.000253
base_counting,Medium,10000,naive,batch,1318562.11,1316448.80,9547.27,0.007584,0.007597
base_counting,Medium,10000,naive,streaming,1010891.63,1012414.83,8751.12,0.009892,0.009878
base_counting,Medium,10000,neon,batch,25587749.96,25522860.87,482590.78,0.000391,0.000392
base_counting,Medium,10000,neon,streaming,4069039.84,4067950.45,46053.21,0.002458,0.002459
base_counting,Large,100000,naive,batch,1305114.59,1304469.14,7528.24,0.076622,0.076662
base_counting,Large,100000,naive,streaming,993715.61,993842.74,9964.97,0.100632,0.100630
base_counting,Large,100000,neon,batch,21657239.07,21564387.17,785079.31,0.004617,0.004644
base_counting,Large,100000,neon,streaming,3873733.83,3884566.24,46005.41,0.025815,0.025746
base_counting,VeryLarge,1000000,naive,batch,1271912.01,1270274.80,6587.80,0.786218,0.787252
base_counting,VeryLarge,1000000,naive,streaming,982664.03,981566.00,6015.68,1.017642,1.018819
base_counting,VeryLarge,1000000,neon,batch,22142266.44,22146805.03,757853.19,0.045163,0.045206
base_counting,VeryLarge,1000000,neon,streaming,4004278.67,3969025.80,77976.34,0.249733,0.252051
gc_content,Small,1000,naive,batch,1384602.39,1380606.82,33720.28,0.000722,0.000725
gc_content,Small,1000,naive,streaming,1017509.85,1017924.96,13115.81,0.000983,0.000983
gc_content,Small,1000,neon,batch,28503833.77,28348920.49,577823.62,0.000035,0.000035
gc_content,Small,1000,neon,streaming,3512623.51,3475677.35,60566.28,0.000285,0.000288
gc_content,Medium,10000,naive,batch,1388780.39,1386051.12,8546.55,0.007201,0.007215
gc_content,Medium,10000,naive,streaming,1018933.47,1018351.28,3249.80,0.009814,0.009820
gc_content,Medium,10000,neon,batch,28009559.24,27818599.79,436150.13,0.000357,0.000360
gc_content,Medium,10000,neon,streaming,3522212.63,3501857.68,60294.50,0.002839,0.002856
gc_content,Large,100000,naive,batch,1409559.15,1408363.22,6912.00,0.070944,0.071006
gc_content,Large,100000,naive,streaming,1027099.81,1027073.86,1625.30,0.097362,0.097364
gc_content,Large,100000,neon,batch,22152384.95,21877181.42,1107519.31,0.004514,0.004583
gc_content,Large,100000,neon,streaming,3475422.66,3469943.02,22447.41,0.028773,0.028820
gc_content,VeryLarge,1000000,naive,batch,1409262.12,1407989.69,11917.23,0.709591,0.710284
gc_content,VeryLarge,1000000,naive,streaming,1011642.32,1009794.43,7821.52,0.988492,0.990360
gc_content,VeryLarge,1000000,neon,batch,25576810.25,25295518.13,529624.56,0.039098,0.039550
gc_content,VeryLarge,1000000,neon,streaming,3483677.83,3488500.70,48762.43,0.287053,0.286712
quality_filter,Small,1000,naive,batch,100000000.00,100049444.04,841618.21,0.000010,0.000010
quality_filter,Small,1000,naive,streaming,6781592.05,6687319.41,182925.20,0.000147,0.000150
quality_filter,Small,1000,neon,batch,192012288.79,185171115.71,20441793.33,0.000005,0.000006
quality_filter,Small,1000,neon,streaming,6840530.28,6807805.18,114937.83,0.000146,0.000147
quality_filter,Medium,10000,naive,batch,104212259.53,103038968.24,2303634.75,0.000096,0.000097
quality_filter,Medium,10000,naive,streaming,6797232.89,6768061.90,82625.30,0.001471,0.001478
quality_filter,Medium,10000,neon,batch,201174861.19,200043432.60,2287152.90,0.000050,0.000050
quality_filter,Medium,10000,neon,streaming,6911946.09,6907356.08,49084.59,0.001447,0.001448
quality_filter,Large,100000,naive,batch,35127345.32,35389781.21,2991214.79,0.002847,0.002846
quality_filter,Large,100000,naive,streaming,6412628.72,6345334.32,182590.12,0.015594,0.015773
quality_filter,Large,100000,neon,batch,50453569.00,50281466.81,6054989.61,0.001982,0.002020
quality_filter,Large,100000,neon,streaming,6731798.75,6633474.16,216974.74,0.014855,0.015092
quality_filter,VeryLarge,1000000,naive,batch,30049977.44,30046687.70,367807.09,0.033278,0.033287
quality_filter,VeryLarge,1000000,naive,streaming,6341577.05,6359350.51,177247.58,0.157690,0.157371
quality_filter,VeryLarge,1000000,neon,batch,44291171.40,43746862.79,1325003.00,0.022578,0.022880
quality_filter,VeryLarge,1000000,neon,streaming,6533803.62,6610530.36,147804.68,0.153050,0.151349
